s22a,s22m,s32a,s32m,s12a,s12m,s23a,s23m,s33a,s33m,s13a,s13m,s21a,s21m,s31a,s31m,s11a,s11m,wavelengths,freqs
2.348554398596927,0.148523863617049,1.47325174709865,0.07870129763531979,0.1622849566687631,0.6161866036499215,1.473251746887732,0.07870129760719415,2.3485543981778427,0.1485238635967545,0.16228495659904252,0.6161866036561939,0.16230803096253477,0.6182386241172352,0.1623080309813859,0.61823862412753,1.4555929934977074,0.025269067527560782,1.5,0.6666666666666666
1.8260654074075569,0.14097082149566026,0.8915802207710235,0.0851574942700235,-0.15496831486967974,0.6190699164739358,0.8915802205532364,0.08515749425205177,1.8260654070797522,0.14097082148272513,-0.15496831495813904,0.6190699164304917,-0.15645404261939672,0.6204938158784766,-0.15645404259805487,0.6204938158888537,0.8452870073907469,0.027416259319890262,1.5020408163265306,0.6657608695652174
1.2476777060103907,0.12704235395314806,0.28855105539541104,0.08945194544902106,-0.47362870333308366,0.6222643750005853,0.288551055200557,0.08945194544128682,1.2476777057950414,0.12704235394332694,-0.4736287033861824,0.6222643750020868,-0.4757039138029155,0.6227020018150112,-0.4757039137791992,0.6227020018262072,0.22092512926688695,0.03189212243829584,1.5040816326530613,0.6648575305291723
0.6066938665173175,0.11207678082870595,-0.3142031901911555,0.09131843645649722,-0.7935241982530126,0.624833018957947,-0.31420319034020117,0.09131843645682734,0.6066938664257354,0.11207678081462966,-0.7935241982969531,0.6248330189563089,-0.795246616580285,0.62437975900987,-0.7952466165550596,0.6243797590225497,-0.3328455144494068,0.03870866237057848,1.506122448979592,0.6639566395663956
-0.08971785128314928,0.10260339732514481,-0.9035051885932462,0.09164468995125769,-1.1136590848009353,0.6261638825183193,-0.9035051886866062,0.09164468995619197,-0.08971785129734058,0.10260339729905833,-1.1136590848356118,0.6261638825137256,-1.1144802596087795,0.6251863041833042,-1.1144802595833139,0.6251863041977225,-0.7894438379920842,0.04646890504210001,1.5081632653061225,0.6630581867388362
-0.7952860485594765,0.10248447310119535,-1.4772092550375495,0.09166350572165562,-1.4328514440080808,0.6261060990174376,-1.4772092550794707,0.09166350572773822,-0.7952860486068435,0.10248447306047073,-1.4328514440342541,0.6261060990102185,-1.4326351180621484,0.6250434336086198,-1.4326351180376615,0.6250434336245894,-1.159865344934004,0.05381708429433216,1.510204081632653,0.6621621621621622
-1.4514215106969075,0.11040247600356913,-2.0407128571196713,0.09221071594458145,-1.7500535672826847,0.6248437216901032,-2.0407128571262803,0.09221071594919947,-1.451421510849139,0.11040247595245295,-1.7500535673017867,0.6248437216804043,-1.7490399052368497,0.6241169317810641,-1.7490399052141934,0.6241169317980974,-1.4622752465522812,0.0601604987261012,1.5122448979591836,0.6612685560053981
-2.041611064866342,0.12191280005085355,-2.6010078469174034,0.09361200946236967,-2.0644430620459717,0.6228196661929992,-2.601007846912267,0.09361200946408488,-2.041611065117012,0.1219127999960011,-2.064443062059729,0.6228196661806589,-2.0632544317520005,0.6227147703115871,-2.0632544317315737,0.6227147703290845,-1.7147400900738679,0.06551858292080787,1.5142857142857142,0.6603773584905661
-2.5849134039353596,0.13278943085600756,-3.164254504901824,0.09591934533717555,-2.375572631771927,0.6206848996863402,-3.1642545049100246,0.09591934533580121,-2.5849134042504507,0.13278943080317318,-2.375572631782069,0.6206848996708897,-2.3750730152878003,0.621199983426176,-2.375073015269591,0.6211999834435514,-1.9343951398138333,0.07002933337282542,1.5163265306122449,0.6594885598923285
-3.1079596122404776,0.1400796406099063,-3.7358448987387085,0.09895403032446,-2.6835341820505123,0.6191852543474627,-3.7358448987808344,0.09895403032101834,-3.107959612587981,0.14007964056329814,-2.6835341820585628,0.6191852543281614,-2.6844993709685787,0.6199521573192428,-2.684499370952234,0.6199521573360002,-2.135303221619667,0.07355289936788437,1.5183673469387755,0.6586021505376344
-3.633306097742823,0.14201044680305686,-4.318776058976702,0.10222748980617816,-2.9890555906963217,0.618989135175995,-4.318776059063842,0.10222748980267873,-3.6333060980954257,0.1420104467652841,-2.9890555907033898,0.6189891351518699,-2.9917611228557686,0.6193488192759018,-2.9917611228406242,0.61934881929179,-2.3256440523560524,0.07557499489947787,1.5204081632653061,0.6577181208053691
-4.178006306212447,0.13823029932939845,-4.911504210023034,0.10509952930214778,-3.2934195152024937,0.6204547933817496,-4.911504210156876,0.10509952930124261,-4.17800630654234,0.13823029930089598,-3.2934195152089942,0.6204547933516467,-3.2973584824284887,0.6197211790273234,-3.297358482413798,0.6197211790419972,-2.5057651309368185,0.07540532232077998,1.5224489795918368,0.6568364611260054
-4.75521474317723,0.13029411842667382,-5.508506167615437,0.10714174596143763,-3.598060150110725,0.6234456423368895,-5.508506167785129,0.10714174596554936,-4.755214743455447,0.13029411840534694,-3.5980601501162304,0.6234456422998323,-3.602071218553017,0.6212582493754519,-3.602071218537892,0.6212582493890989,-2.6671504594083046,0.07258745520568323,1.5244897959183674,0.6559571619812583
-5.37334192730781,0.12158639014699264,-6.103309241448336,0.10838069753863219,-3.904013334793699,0.627370961465927,-6.103309241635566,0.10838069754939268,-5.373341927512243,0.12158639012786349,-3.9040133347971206,0.6273709614214256,-3.9068247151079047,0.6238899113654263,-3.906824715091645,0.6238899113783569,-2.792057327065136,0.06741348907118329,1.526530612244898,0.6550802139037433
-6.027712539928732,0.11619217322783287,-6.6916229592628,0.10923538851626621,-4.2116090873194345,0.6314303261824927,-6.691622959445687,0.10923538853414626,-6.027712540068148,0.11619217320439713,-4.211609087319602,0.6314303261308043,-4.212403763870029,0.6272354431400176,-4.212403763852247,0.6272354431526859,-2.8566326822796206,0.06138000998115316,1.5285714285714287,0.6542056074766355
-6.692036157899117,0.11687366987275039,-7.272789589345004,0.11024274566023323,-4.520507460836151,0.6348710122226375,-7.272789589502953,0.11024274568460155,-6.692036158026136,0.11687366984045446,-4.520507460832472,0.634871012164697,-4.5191511284795585,0.6306890722150905,-4.519151128460249,0.6306890722279758,-2.8483557336311476,0.057180796257536026,1.530612244897959,0.6533333333333333
-7.332124418898934,0.12347100211925174,-7.849325443961355,0.11179063280366193,-4.829891140114914,0.6371588929178403,-7.849325444078576,0.1117906328330131,-7.332124419073901,0.12347100207857999,-4.829891140107704,0.6371588928549475,-4.8268406243160085,0.6336212282309264,-4.8268406242954365,0.6336212282444876,-2.8000626071139356,0.05739503298314747,1.5326530612244897,0.6524633821571239
-7.932533929166742,0.13336538557818456,-8.425476634706122,0.11396291379392931,-5.138693570981072,0.6380842799988097,-8.425476634775379,0.11396291382648994,-7.932533929418837,0.1333653855335638,-5.138693570971586,0.6380842799321472,-5.134800226522001,0.6355843787354841,-5.134800226500764,0.6355843787497955,-2.7800516677928746,0.06223684723202552,1.5346938775510204,0.6515957446808511
-8.500168078249843,0.1431901744064816,-9.005394902961424,0.11646718668167845,-5.445870210676993,0.6378102889307717,-9.005394902982145,0.11646718671528876,-8.500168078575017,0.14319017436448472,-5.445870210666953,0.6378102888612035,-5.4421828850025475,0.636412639488405,-5.442182884981149,0.636412639503588,-2.8238471352373415,0.06952652118563242,1.536734693877551,0.650730411686587
-9.050500002240017,0.1500670309705222,-9.591111854583291,0.11866963819684855,-5.750709330255911,0.6368207372962961,-9.591111854561882,0.11866963822946482,-9.050500002617895,0.1500670309375354,-5.750709330247126,0.6368207372241375,-5.748206778075268,0.6361961882051925,-5.748206778054204,0.63619618822115,-2.9230129807348573,0.0768318131590979,1.5387755102040817,0.649867374005305
-9.597600434313524,0.1523044200300039,-10.181171271620958,0.11981053601160385,-6.053068644858572,0.6357291815089462,-10.181171271568118,0.11981053604146956,-9.597600434713003,0.15230442001096126,-6.053068644852438,0.6357291814340119,-6.052271330432814,0.6352023612234343,-6.052271330412466,0.6352023612399599,-3.058175756339543,0.0826149217218978,1.5408163265306123,0.6490066225165563
-10.151245589591811,0.14990045153747925,-10.770841517473713,0.11934361428998616,-6.35334662970425,0.6350160738669459,-10.770841517401742,0.11934361431586513,-10.151245589969951,0.14990045153447196,-6.353346629701366,0.6350160737887811,-6.3539973573441415,0.6338155377553476,-6.353997357324719,0.633815537772161,-3.2153508103178092,0.08614199523174813,1.542857142857143,0.6481481481481481
-10.716578726455541,0.1446276393750853,-11.353784354231383,0.11721495371133636,-6.652166650348767,0.6348752873551836,-11.353784354151882,0.11721495373264855,-10.716578726757895,0.1446276393860661,-6.652166650348862,0.6348752872734417,-6.653283183694188,0.6324925027438911,-6.653283183675669,0.6324925027606939,-3.387307243056216,0.08707543695293407,1.5448979591836736,0.6472919418758256
-11.292767269123525,0.1393880783038021,-11.924473384275702,0.11391555800088154,-6.950045846871072,0.6352674180051204,-11.924473384198247,0.11391555801765418,-11.29276726929694,0.1393880783220804,-6.9500458468733095,0.6352674179198865,-6.950374352357025,0.6316815321191321,-6.950374352339144,0.6316815321356888,-3.5707893454543105,0.08515492776851921,1.5469387755102042,0.646437994722955
-11.870731247125905,0.1369368430548521,-12.480477362330445,0.11025834186238657,-7.247297365078254,0.6360609417460134,-12.480477362262324,0.11025834187503894,-11.870731247148074,0.13693684307043835,-7.247297365081774,0.6360609416578991,-7.24584320032011,0.6316971590920781,-7.245843200302435,0.6316971591082964,-3.7631707612344303,0.08010449997901178,1.5489795918367348,0.6455862977602107
-12.434676423292204,0.13859797471000215,-13.023326919152522,0.107010465229452,-7.544090118981451,0.6371031016129413,-13.023326919099222,0.1070104652385403,-12.434676423194231,0.13859797471312021,-7.544090118985801,0.6371031015229471,-7.540413929218348,0.6326205945822163,-7.540413929200434,0.6326205945981652,-3.959546903077883,0.07176725918204194,1.5510204081632653,0.6447368421052632
-12.970211682634913,0.14380372887404402,-13.557239154303106,0.10464107345467051,-7.840469005651069,0.6382286084015942,-13.557239154269137,0.10464107346072331,-12.970211682485187,0.14380372885870088,-7.840469005656378,0.6382286083108752,-7.834714493475209,0.6343006420818528,-7.83471449345673,0.6343006420977264,-4.149952951762369,0.06032765844817274,1.5530612244897959,0.6438896189224704
-13.471966017990274,0.1506689253174229,-14.086940745066086,0.10332471981085588,-8.136331429802256,0.639295154720413,-14.086940745055749,0.10332471981435415,-13.471966017857225,0.150668925282521,-8.136331429809182,0.6392951546300603,-8.129108042757437,0.636450840382151,-8.129108042738043,0.6364508403982798,-4.313339558508773,0.04646698714737351,1.5551020408163265,0.6430446194225722
-13.943986903890531,0.15690732950731728,-14.616524482869204,0.1030720295085746,-8.43146837753865,0.6402464175375433,-14.616524482887003,0.10307202951002895,-13.943986903822672,0.15690732945559363,-8.431468377548223,0.6402464174484285,-8.423677285228905,0.6387705844380115,-8.423677285209028,0.6387705844544723,-4.394053451329466,0.031508573117871246,1.5571428571428572,0.6422018348623854
-14.395853754446565,0.16040125260546484,-15.149421335560817,0.10379161869927025,-8.72568146117055,0.6411422457893483,-15.149421335611201,0.10379161869933073,-14.395853754473938,0.1604012525420409,-8.725681461183967,0.6411422457020282,-8.718317946784282,0.64102369176864,-8.71831794676387,0.6410236917857243,-4.194907832852406,0.018395692569355422,1.5591836734693878,0.6413612565445026
-14.839246288069194,0.15939798343046205,-15.688217072055085,0.10526109896549485,-9.018908457413705,0.6421294771198444,-15.688217072141425,0.10526109896503115,-14.839246288211896,0.15939798336196895,-9.018908457432147,0.6421294770345166,-9.012852402428818,0.6430540574814739,-9.01285240240813,0.6430540574993402,-3.453416488504828,0.0158948894442105,1.5612244897959184,0.6405228758169934
-15.286548138216071,0.15266524530390674,-16.23393842857386,0.10711312825903298,-9.311296555179132,0.6433613994912338,-16.23393842869686,0.10711312825914225,-15.286548138491458,0.1526652452381548,-9.311296555203551,0.6433613994077354,-9.30709284424087,0.6447582185889155,-9.307092844220254,0.644758218607654,-3.122108613992654,0.025397816743195915,1.563265306122449,0.639686684073107
-15.751756877462308,0.1398142870531919,-16.785535712058582,0.1088972602265056,-9.603170730127779,0.6448928242161343,-16.785535712214696,0.10889726022840916,-15.751756877888555,0.1398142869990317,-9.603170730158668,0.6448928241340033,-9.600832471581516,0.6460587259134427,-9.60083247156138,0.6460587259330461,-3.1681760097061504,0.036307601971240895,1.5653061224489797,0.6388526727509778
-16.254067296527534,0.12177638594238067,-17.34006265500399,0.11019092396994459,-9.894878178258784,0.6466089620680713,-17.340062655184582,0.11019092397476911,-16.25406729711865,0.12177638590941617,-9.894878178295953,0.6466089619867292,-9.893810429195105,0.6469168493747707,-9.893810429175844,0.6469168493950996,-3.3272346415930647,0.04514702587588385,1.5673469387755103,0.6380208333333333
-16.82400840494377,0.10138465536537233,-17.893406039658004,0.1107118823114823,-10.186583124337906,0.6482493978810707,-17.893406039849715,0.11071188231997611,-16.824008405674206,0.10138465536289565,-10.186583124380473,0.6482493978000886,-10.185729486654555,0.6473772148551639,-10.185729486636427,0.6473772148759578,-3.527206322299057,0.05105988361658104,1.569387755102041,0.6371911573472041
-17.502513794411016,0.08401313004240943,-18.441301202258515,0.11039667004517395,-10.478151602870955,0.6495270840995767,-18.4413012024449,0.11039667005745858,-17.502513795098707,0.08401313007470895,-10.478151602917592,0.6495270840188976,-10.476352505494535,0.647590820204509,-10.476352505477568,0.6475908202254564,-3.745821459240666,0.053911274780261996,1.5714285714285714,0.6363636363636364
-18.286618928011713,0.07691023453427341,-18.980470709943425,0.10940783183430149,-10.769208466458652,0.6502635516897421,-18.980470710107426,0.10940783184976272,-18.286618928265916,0.07691023458792984,-10.769208466507994,0.6502635516097336,-10.765611295321712,0.6477739667324441,-10.765611295305682,0.6477739667532852,-3.976016642845981,0.05385447417473856,1.573469387755102,0.6355382619974059
-19.049482157027416,0.0833406842224842,-19.509546517319944,0.10804677848092961,-11.059307731529364,0.6504504036681708,-19.50954651744677,0.1080467784982722,-19.04948215678183,0.08334068426714403,-11.059307731580368,0.6504504035894962,-11.053634131231348,0.6481215810442243,-11.053634131215881,0.6481215810648239,-4.216514718647901,0.05113809075740805,1.5755102040816327,0.6347150259067358
-19.683720824378753,0.09829081607941507,-20.0292452418908,0.10661286432233721,-11.34808194851921,0.6502231034414524,-20.029245241970617,0.10661286433975653,-19.683720823958044,0.09829081609686961,-11.348081948571293,0.6502231033648594,-11.340667365178799,0.6487373434287306,-11.340667365163494,0.648737343449097,-4.468010693470898,0.04605038904565151,1.5775510204081633,0.6338939197930142
-20.20480223868643,0.11502449877100233,-20.541667765150873,0.10530424659294901,-11.635308254413077,0.6498053821276789,-20.54166776518096,0.10530424660835609,-20.204802238298427,0.11502449875926568,-11.635308254466098,0.6498053820538306,-11.62695715243663,0.6496251347432567,-11.626957152421145,0.6496251347635137,-4.731456988656069,0.03896091395659173,1.579591836734694,0.6330749354005167
-20.65781796641263,0.12936535047216782,-21.049356516564092,0.10421375431362684,-11.920934266947288,0.6494666128293376,-21.04935651655011,0.1042137543249057,-20.657817966127308,0.12936535043521938,-11.920934267001442,0.6494666127586898,-11.912677834209425,0.6507302928638803,-11.912677834193545,0.6507302928842301,-5.0076059588738175,0.030370916885827073,1.5816326530612246,0.632258064516129
-21.07501881323421,0.13916822592599418,-21.55480753148809,0.10337322448885033,-12.205105941693052,0.6494793771597209,-21.55480753144423,0.10337322449415115,-21.075018813072823,0.1391682258694901,-12.205105941748744,0.6494793770924756,-12.19793415675113,0.6519839298944324,-12.197934156734778,0.6519839299151213,-5.296694664030091,0.020911926507143463,1.5836734693877552,0.6314432989690721
-21.47748207432441,0.14341214356013046,-22.06036147554072,0.10277498381496677,-12.4881759701317,0.6500574433649785,-22.060361475488683,0.10277498381301467,-21.477482074297985,0.14341214349054576,-12.48817597018943,0.6500574433010554,-12.482797043558218,0.6533174775459444,-12.482797043541488,0.6533174775672302,-5.594704906248669,0.011302262365087854,1.5857142857142859,0.6306306306306306
-21.881038495856544,0.1417745277832865,-22.56796598988734,0.10236840277606657,-12.770653282569903,0.651283791866334,-22.567965989854038,0.10236840276645354,-21.88103849597873,0.1417745277079799,-12.770653282630105,0.6512837918053719,-12.767321082075442,0.6546519784762505,-12.767321082058613,0.6546519784983533,-5.801875321613963,0.002302321337550635,1.5877551020408165,0.6298200514138816
-22.300322368625068,0.1345703160436067,-23.07876259843729,0.10207709876137622,-13.053080170909485,0.6530567880229889,-23.078762598451235,0.10207709874478874,-22.300322368916035,0.13457031597109106,-13.053080170972361,0.6530567879643845,-13.051527440061792,0.6558867759629494,-13.051527440045291,0.6558867759859891,-3.247762576850911,0.0055005192594946165,1.5897959183673471,0.6290115532734274
-22.751979548469997,0.12294650400646494,-23.592942879805182,0.10184562882301644,-13.335859491124657,0.6550885139060708,-23.592942879891922,0.10184562880131907,-22.751979548953056,0.12294650394665205,-13.335859491190005,0.6550885138490787,-13.335369869428016,0.6569062720233951,-13.33536986941234,0.6569062720473378,-3.604738962528263,0.011536328890019326,1.5918367346938775,0.6282051282051282
-23.256983751406597,0.10921357275169007,-24.11008476973241,0.10167172686900323,-13.619101587635836,0.6569785586584631,-24.110084769909573,0.10167172684510496,-23.256983752085386,0.10921357271563019,-13.619101587702982,0.6569785586023562,-13.618713018326376,0.65760845522522,-13.618713018311944,0.6576084552498682,-4.025338423803995,0.01579625515804559,1.5938775510204082,0.6274007682458387
-23.836288257267245,0.09712213552140937,-24.629631023296206,0.1015891923243614,-13.902578967668827,0.6583418123092968,-24.62963102356922,0.10158919230184568,-23.836288258057095,0.09712213551878954,-13.90257896773669,0.6583418122535253,-13.901349255773399,0.6579435852548902,-13.90134925576044,0.6579435852799322,-4.491785235836906,0.018730102598194534,1.5959183673469388,0.6265984654731458
-24.485633963611356,0.0913314098882104,-25.15106705591026,0.10161998174012134,-14.185813066089707,0.6589238037067745,-25.151067056270236,0.10161998172267758,-24.48563396426855,0.09133140991946687,-14.185813066157042,0.658923803651051,-14.183059014110961,0.6579376035234823,-14.183059014099396,0.6579376035486313,-4.992430821974632,0.021241560860401906,1.5979591836734695,0.6257982120051085
-25.145603337885763,0.09469761361674278,-25.67376782190885,0.10174115084813781,-14.46822333533228,0.6586505955199093,-25.673767822331293,0.10174115083899586,-25.1456033381741,0.09469761366593418,-14.468223335397788,0.6586505954643083,-14.463680539650067,0.6576789455872838,-14.463680539639782,0.6576789456121781,-5.497744404572074,0.024325099229787275,1.6,0.625
